,Unnamed: 0,StringZ:aLund,StringZ:bLund,StringZ:rFactC,StringZ:rFactB,StringZ:aExtraSQuark,StringZ:aExtraDiquark,StringPT:sigma,StringPT:enhancedFraction,StringPT:enhancedWidth,StringFlav:ProbStoUD,StringFlav:probQQtoQ,StringFlav:probSQtoQQ,StringFlav:ProbQQ1toQQ0,TimeShower:alphaSvalue,TimeShower:pTmin,chi2
51,51,0.0016514229246214,1.7507734413633251,0.3782464050523324,1.555542000089402,0.1491217444765764,1.7421558537474933,0.995735659477094,0.0128024687872306,1.1778368902787142,1.7637031129798375,0.6351931286774637,1.4698016775418754,0.8909868251655635,0.2326099392496554,0.4810291551609927,54.12276804109136
52,52,1.7619676846147132,1.1561158664026376,0.1627208474895222,0.1299172053948797,0.3714120575669246,0.0884793174490401,0.1598562215581274,0.0938538693661389,3.9056949244580994,0.1400614963982456,3.777430070639325,2.6324222551358063,2.557632976253636,0.1226554452006701,1.3714707793266536,22.122650704301613
54,54,1.65187138556929,1.9834980253031491,0.5150010930457282,1.4622933103235995,0.7304955641618411,1.3794120274371091,0.9939131261399798,0.9628869328371702,2.1098454693988256,0.2553383889819685,0.2809660062364915,2.084993391228776,1.5923977749103695,0.1540933802486039,1.9304223653520869,43.04209715402238
58,58,1.397438730675102,0.2398037933600696,1.7821332455328254,0.5442863459356021,0.963836603614585,0.4622373887165811,0.6423926719248767,0.8105633966855545,3.759728598636163,0.22220101926867,0.8465350571324554,1.036203691219217,0.2683736879708773,0.079590609776015,1.652028329062937,41.14423152001903
59,59,0.1506150618208404,0.3217063006953488,0.3232213157866218,0.3388883506961476,0.4905500077154053,0.1552250547698347,0.7613346540112913,0.8811629499507295,1.06386197826536,2.787391921437216,2.830416854685757,0.7843564990987802,0.7384678489569747,0.1005859494322262,1.146179861297876,37.06416200361806
62,62,1.8799998230208643,0.7956652679399367,0.6204973126708142,0.5475787721682563,1.47525580303808,1.484320374214644,0.8839345612164751,0.9456593951154444,3.682570229737923,0.5232606857606452,0.6403133982073875,2.06508825578838,2.748433511597089,0.1384967307478506,0.8584517270539956,13.333855924386622
65,65,0.3556883223118444,0.4315047338413404,0.1064367901225361,1.6850020537680026,1.9343357339249023,0.5815734126798978,0.8482431731583274,0.9096004103179304,3.660321109173582,2.2990959494936827,0.2779560204073703,2.422781498776546,2.410829175355995,0.1368688290142361,1.9704461964918605,20.798166002405885
73,73,1.7915247289869447,0.8619353003741159,0.5241910016859735,0.1539414005895289,1.5377214425700694,0.6597055742146832,0.93817850995131,0.6228337940784272,3.733262488443677,1.7044930457217986,1.8642507195095688,2.0193248070749794,0.999760280206914,0.0792247472596702,0.9279938106645342,46.30508031611992
74,74,0.9370579112673756,1.824244304946361,1.2923162686951788,0.7758610390089853,0.8252542210671486,0.7338213281845952,0.7433718271451124,0.5398934496567418,1.947637657802305,0.910289756456503,2.951265257496308,2.718234342736441,3.186036482373856,0.0719244663891097,0.4202141105253481,44.87641315883953
75,75,1.3735743650611638,1.8323077660542275,1.3002459572595513,1.6554237726988486,1.554491028072689,1.3315574404551924,0.187384716167669,0.433333505724883,2.344947750362769,3.4735324200008124,2.884962193142752,3.9892099602744935,1.8221401110320732,0.082818761390412,0.4876888952436115,43.54822872855641
84,84,0.6372229254974336,1.6172467100380024,0.5281267741671036,0.4405035748682003,1.7540249380477009,0.0904911629415557,0.0774970127965107,0.0078534628373327,1.1644349625545565,3.2578972493115144,3.487190247437523,2.907024973686665,2.1812751979310603,0.0826663273525919,0.4617478309347321,47.78255016988857
85,85,0.8275470394102978,1.9613596621440883,1.6293288364305274,1.2025910711632468,1.752956357073178,0.9774577487216366,0.5994393848708611,0.0292848010646511,3.813919088769395,2.50987215884249,2.6513742491921426,0.8431966902412474,0.7743279721064854,0.123243849659442,1.3920413410285022,36.86865419064591
89,89,1.2494999967895604,0.8450361869215015,1.493445976336624,0.8608717223705334,1.9498972016812108,1.0801419168601256,0.5367446097151096,0.7069697964557881,1.6170936922022647,0.2771630477315536,2.4886269133418777,1.447548397552867,1.825935304379238,0.0844485291807679,0.3482851052439322,28.369198573447242
95,95,0.3366953534419064,0.4377531017053044,1.197346933584682,0.4401208010161028,1.4214877250261644,0.0051307981048495,0.8825994199293374,0.983935032517754,2.79866140178598,2.6931224108428906,1.223067198595085,3.2134095053121827,0.4768655138282816,0.1874217823782258,0.2719360332135951,34.58113231350008
